Group,Category,Code,Long Description,Short Description
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4004,Endocrinology mips specialty set,Endocrinology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4005,Family medicine mips specialty set,Family medicine ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4006,Gastro-enterology mips specialty set,Gastroenterology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4007,General surgery mips specialty set,General surgery ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4008,Geriatrics mips specialty set,Geriatrics ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4009,Hospitalists mips specialty set,Hospitalists ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4010,Infectious disease mips specialty set,Infectious disease ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4011,Internal medicine mips specialty set,Internal medicine ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4012,Interventional radiology mips specialty set,Interventional rad ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4013,Mental/behavioral and psychiatry mips specialty set,Mntal/behav/psych hlth ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4014,Nephrology mips specialty set,Nephrology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4015,Neurology mips specialty set,Neurology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4016,Neurosurgical mips specialty set,Neurosurgical ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4017,Nutrition/dietician mips specialty set,Nutrition/dietician ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4018,Obstetrics/gynecology mips specialty set,Ob/gyn ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4019,Oncology/hematology mips specialty set,Oncology/hema ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4020,Ophthalmology/optometry mips specialty set,Ophthalmology/optometry ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4021,Orthopedic surgery mips specialty set,Orthopedic surgery ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4022,Otolaryngology mips specialty set,Otolaryngology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4023,Pathology mips specialty set,Pathology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4024,Pediatrics mips specialty set,Pediatrics ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4025,Physical medicine mips specialty set,Physical medicine ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4026,Physical therapy/occupational therapy mips specialty set,Phys/occ therapy ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4027,Plastic surgery mips specialty set,Plastic surgery ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4028,Podiatry mips specialty set,Podiatry ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4029,Preventive medicine mips specialty set,Preventive medicine ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4030,Pulmonology mips specialty set,Pulmonology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4031,Radiation oncology mips specialty set,Radiation oncology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4032,Rheumatology mips specialty set,Rheumatology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4033,Skilled nursing facility mips specialty set,Skilled nursing facility ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4034,Speech language pathology mips specialty set,Speech language path ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4035,Thoracic surgery mips specialty set,Thoracic surgery ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4036,Urgent care mips specialty set,Urgent care ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4037,Urology mips specialty set,Urology ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G4038,Vascular surgery mips specialty set,Vascular surgery ss
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G6001,Ultrasonic guidance for placement of radiation therapy fields,Echo guidance radiotherapy
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G6002,Stereoscopic x-ray guidance for localization of target volume for the delivery of radiation therapy,Stereoscopic x-ray guidance
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G6003,"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: up to 5 mev",Radiation treatment delivery
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G6004,"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 6-10 mev",Radiation treatment delivery
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G6005,"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 11-19 mev",Radiation treatment delivery
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G6006,"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 20 mev or greater",Radiation treatment delivery
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G6007,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: up to 5 mev",Radiation treatment delivery
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G6008,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a single treatment area, use of multiple blocks: 6-10 mev",Radiation treatment delivery
